employer,employee
CSIRO,Mohan Mendelsohn
NICTA,Tammie Kingsberry
IBM,Rahul Ismael
Google,Corky Rodan
Data61,Rodge Ardoin
Data61,Kareem Rucki
IBM,Edgardo Chimeno
Microsoft,Dwane Shani
IBM,Lefty Hopfensperger
NICTA,Sergei Dewitte
NICTA,Mitchel Plassman
CSIRO,Justis Buie
IBM,Stew Suttin
Amazon,Vijay Semas
Amazon,Durand Krefft
Data61,Marcelo Coggin
Data61,Flint Messey
Google,Ariel Prato
NICTA,Greg Elpert
Microsoft,Drew Carmant
Data61,Francis Calton
IBM,Wylie Lantey
NICTA,Prasad Boisen
CSIRO,Elliot Stamenov
Google,Rollins Mckeag
Amazon,Trenton Jaurez
IBM,Sanderson Manthei
Amazon,Aristotle Saltus
Microsoft,Jesus Laabs
CSIRO,Quinn Cirella
Amazon,Leonhard Pletsch
Data61,Linoel Locken
Data61,Rahul Stader
Google,Gayle Shum
NICTA,Bartlett Narum
Amazon,Gail Pacior
Amazon,Rutger Maloon
NICTA,Claybourne Laudato
NICTA,Ned Purkett
Google,Carlin Soares
NICTA,Hamid Schellermann
Microsoft,Sanderson Smithee
IBM,Hymie Gwillim
IBM,Dalton Boissoneault
Google,Hakim Kleiman
CSIRO,Frederich Rosi
NICTA,Hartwell Boonstra
NICTA,Cobbie Schrick
CSIRO,Virgilio Fryer
IBM,Wilmar Wick
Google,Hew Luyando
NICTA,Marcel Arthur
Data61,Irving Mcclean
Amazon,Domenico Lewark
Data61,Jock Figueras
NICTA,Nahum Goben
IBM,Natale Ghane
NICTA,Leigh Mogel
CSIRO,Rudolfo Flitsch
Microsoft,Osgood Schwendemann
Amazon,Duffie Herskovits
Microsoft,Shepperd Touney
Microsoft,Sherlocke Warling
Amazon,Serge Gurner
Google,Charleton Srader
Data61,Jackson Kantola
Amazon,Keenan Lomeli
Data61,Jennings Mintken
Microsoft,Bernardo Schier
Data61,Ludwig Hanshaw
Amazon,Claus Wahlenmaier
CSIRO,Claudio Leuthauser
IBM,Frederik Eickhoff
Google,Garth Anick
NICTA,Regen Seed
CSIRO,Berkley Paccione
CSIRO,Tobiah Beukema
Amazon,Gavin Alward
CSIRO,Douglass Sluter
CSIRO,Omar Cassion
Amazon,Monroe Casamento
NICTA,Saxon Bunck
Microsoft,Paton Vitanza
Google,Judy Carratura
CSIRO,Tommy Monteleone
Microsoft,Cliff Bires
Google,Ambros Stamdifer
Microsoft,Bary Janacek
Google,Ozzie Puskas
Microsoft,Ingemar Stech
Microsoft,Tedman Mckain
NICTA,Mic Covone
NICTA,Claire Maden
IBM,Patsy Tardy
NICTA,Haley Delbosque
Data61,Basil Shirts
CSIRO,Filipe Elwell
CSIRO,Roni Espy
NICTA,Major Tackett
Google,Nils Kelsay
Google,Randi Vavricka
NICTA,Darcy Anzideo
Google,Gerold Courie
IBM,Erhard Brunjes
NICTA,Alden Wist
Amazon,Hilbert Dejarnette
Google,Ronen Spears
Microsoft,Shorty Wulffraat
Google,Sancho Manzanarez
IBM,Michele Catucci
CSIRO,Hal Sharick
CSIRO,Jermaine Biondi
Google,Ace Hansome
Google,Jasper Ballen
Data61,Burnaby Cordill
IBM,Clair Moyler
NICTA,Charlton Pernin
Data61,Rudyard Robarge
Amazon,Nev Demshar
IBM,Clay Haigh
NICTA,Waring Vee
Google,Luciano Langham
Google,Tymothy Tyssens
Microsoft,Guy Caspers
Data61,Connor Jarred
Amazon,Graham Pair
CSIRO,Deane Kiang
Amazon,Yank Steelmon
CSIRO,Angelo Vassell
Amazon,Quentin Buell
Data61,Ash Norrington
Data61,Willard Flaum
Amazon,Nat Reams
NICTA,Zebedee Negus
NICTA,Wayland Oconner
Amazon,Lucio Knoflicek
Data61,Dennie Mcelmury
Google,Sonny Thielges
Google,Shayne Klayman
Google,Tibold Augustyniak
Amazon,Thorpe Argenziano
Data61,Christ Pumphrey
Microsoft,Curtice Hoffine
NICTA,Anatole Rubash
IBM,Gayle Kaltz
IBM,Renaldo Bolevice
Microsoft,Urbano Payan
Data61,Desmond Luper
Google,Aldo Deardon
Google,Meade Benedetto
Google,Javier Urquidi
CSIRO,Warner Ottey
Data61,Walsh Wurth
Amazon,Talbot Mangione
CSIRO,Tann Cominski
IBM,Jared Dileo
NICTA,Blayne Beresik
Microsoft,Jed Benek
Amazon,Tedrick Gellespie
Amazon,Salvatore Sarris
IBM,Huntley Babine
Amazon,Gaven Bencivenga
Microsoft,Aldus Hair
NICTA,Lovell Sorbo
NICTA,Deryl Pannell
CSIRO,Thaddus Hercher
NICTA,Neville Croner
Google,Quent Reedus
CSIRO,Alexander Brezee
IBM,Vite Lazarski
Microsoft,See Bowin
Microsoft,Gavin Molinaro
Google,Andrey Lamy
CSIRO,Lockwood Lessen
CSIRO,Troy Ohlinger
Google,Frederico Nesspor
Amazon,Wake Meuller
Amazon,Leopold Effron
Microsoft,Niccolo Dewulf
CSIRO,Wendall Threadgill
Amazon,Porter Schaer
Microsoft,Uriah Demetrakos
NICTA,Maxwell Woernle
Microsoft,Zacharias Spiro
NICTA,Albrecht Hefferon
Microsoft,Vick Barstow
Google,Rollin Caplin
IBM,Ervin Bogar
Microsoft,Sebastian Waitz
NICTA,Leonid Linssen
CSIRO,Magnus Karpf
Amazon,Angie Kulzer
Amazon,Murray Scheffrahn
Amazon,Neall Gillian
Amazon,Esau Motl
CSIRO,Berchtold Corrente
Google,Ferd Wheatly
Microsoft,Harrold Summer
CSIRO,Russ Scattergood
NICTA,Ephrayim Estabillo
IBM,Sancho Lupez
Data61,Bobbie Portsche
CSIRO,Wendel Mikami
Data61,Raul Waser
NICTA,Raj Dayan
IBM,Montgomery Seeliger
Microsoft,Dell Kellin
Data61,Tito Gack
IBM,Matt Beam
Google,Lyle Tekippe
Google,Normand Gouveia
Microsoft,Paten Saffo
Amazon,Konstantin Columbia
Google,Ellsworth Ketterl
Data61,Erich Criblez
Amazon,Brewster Lapiana
Data61,Wilhelm Cravy
Microsoft,Niki Gode
CSIRO,Alphonse Plotzker
NICTA,Darwin Mazo
Microsoft,Franklyn Tondreau
Google,Barthel Vallero
Microsoft,Torrin Czajkowski
Microsoft,Barty Kram
NICTA,Stevie Krajcer
Microsoft,Augusto Daudelin
Microsoft,Thorn Sheinberg
Amazon,Bucky Gotthardt
Microsoft,Padraig Granquist
Google,Victor Subasic
IBM,Noble Rester
NICTA,Lucas Wershey
Microsoft,Moore Souza
Google,Wylie Stringari
IBM,Reza Jubie
IBM,Menard Nardozzi
NICTA,Jordon Sidebottom
NICTA,Guthrey Balsamo
CSIRO,Martie Vranich
Microsoft,Adrian Poetker
Amazon,Erny Shemanski
Google,Gustav Trucker
Amazon,Gearard Auchmoody
Microsoft,Devon Krause
Data61,Jere Parms
CSIRO,Rich Buttolph
IBM,Lanny Hamzik
IBM,Matias Detrolio
Amazon,Hayes Polaski
Google,Bruno Wadley
Microsoft,Jerzy Yahna
Amazon,Cammy Knesel
IBM,Cole Lipitz
Google,Bobbie Blackham
IBM,Evan Burdis
Amazon,Cyrillus Darbro
Microsoft,Neddie Brinson
Data61,Eldon Andreatta
Data61,Harald Frezza
Microsoft,Rolph Doffing
Google,Willey Holan
NICTA,Hervey Welles
Amazon,Gordon Mio
Data61,Mic Balhorn
Data61,Rodolph Tokay
Google,Anton Halprin
IBM,Sanson Ziel
CSIRO,Sonny Angeline
Microsoft,Doug Ibey
NICTA,Gearard Beauregard
Google,Gilles Starry
CSIRO,Federico Thongdy
Data61,Jerri Friou
IBM,Jerrold Stillion
Microsoft,Amery Clougher
Amazon,Omar Burling
Google,Dionysus Ertelt
IBM,Sancho Cindrich
NICTA,Allan Schulle
IBM,Ellis Brookfield
Amazon,Ervin Throgmorton
NICTA,Si Keagle
NICTA,Saw Prochnow
Data61,Garey Fisk
Google,Alley Ehlman
Microsoft,Tracey Delfi
IBM,Winthrop Kiflezghie
Data61,Grant Jett
Google,Wallis Eldreth
Data61,Parke Wubben
NICTA,Christophe Lemelle
IBM,Anatollo Jiggetts
CSIRO,Hilliard Strout
NICTA,Alwin Purvis
NICTA,Stanley Kolaga
Data61,Jean-Francois Praley
CSIRO,Tam Casavant
NICTA,Garrot Asal
Amazon,Timotheus Incle
NICTA,John-Patrick Rehkop
Microsoft,Marco Nogueras
NICTA,Ignazio Cuningham
Microsoft,Lazlo Teroganesyan
Microsoft,Bennett Kossak
NICTA,Ev Bulluck
Google,Hartwell Ziebell
IBM,Alex Cardoza
IBM,Aldus Sugarman
NICTA,Salomo Schollmeyer
Amazon,Hilton Ayuso
Data61,Rainer Felipe
Microsoft,Oliver Mikasa
Microsoft,Yardley Julen
CSIRO,Orson Grotzinger
Amazon,Magnum Traw
CSIRO,Wye Pelzel
Data61,Vincents Blakeslee
Data61,Benton Pullano
Microsoft,Abbie Benzi
Data61,Hale Trevisone
IBM,Renaud Wagler
Amazon,Kevan Boniello
NICTA,Graig Credle
Amazon,Lazlo Aitkins
Microsoft,Jethro Acedo
Data61,Gregory Betzler
IBM,Ewart Aparo
NICTA,Sibyl Husman
Data61,Curtice Hilderbrandt
Amazon,Vaclav Braget
CSIRO,Torrence Fahrenthold
Data61,Apostolos Scibetta
NICTA,Frederich Leuck
Data61,Silas Cedrone
Data61,Phillipe Kitt
IBM,Jody Zupfer
Amazon,Rinaldo Fors
NICTA,Pedro Prag
Google,Fons Crary
Amazon,Jon Blind
NICTA,Magnum Arisa
Amazon,Stan Siphan
Data61,Biff Herrman
Amazon,Winfield Mefford
CSIRO,Dabney Paczkowski
Google,Aziz Gobin
Microsoft,Marcus Archambeault
IBM,Mylo Chelf
Google,Bernard Busl
IBM,Algernon Chittenden
Amazon,Lukas Hampon
Amazon,Bronson Borunda
NICTA,Tristan Livesey
Amazon,Britt Pfeuffer
CSIRO,Joe Surridge
CSIRO,Wyatt Diza
Amazon,Kent Banther
Google,Udall Rosenow
Data61,Aldus Depoyster
Microsoft,Bernie Frishkorn
Amazon,Davis Holtan
Amazon,Silvan Ullman
Google,Alton Vickery
Amazon,Hew Harjo
Amazon,Christofer Bickley
Data61,Gilles Molliere
Amazon,Cornelius Richens
NICTA,Horace Roperto
Google,Bradford Onks
IBM,Esau Blan
Data61,Penn Cervera
Microsoft,Burl Delorey
Microsoft,Shayne Klindt
Data61,Stanley Valakas
Data61,Morly Pankey
NICTA,Douglis Safdeye
NICTA,Shumeet Rooth
Amazon,Garrett Boga
CSIRO,Christof Okura
CSIRO,Lonnie Oddo
Data61,Hill Minozzi
Amazon,Dickey Kosuta
Data61,Jared Tyo
NICTA,Olin Outwater
Microsoft,Donn Duhn
Google,Kylila Thomlison
Google,Lorianna Riffle
Google,Carolyne Roelofs
CSIRO,Basia Shostak
CSIRO,Frannie Godyn
NICTA,Tarra Hickock
Google,Sosanna Ciarlo
Microsoft,Kathrine Bjorkquist
Microsoft,Madelle Geraci
Amazon,Elora Come
Amazon,Rhodia Dokuchitz
IBM,Willow Chaiken
CSIRO,Marilyn Redel
IBM,Janith Bivings
Amazon,Joli Lippy
Amazon,Candide Whalan
CSIRO,Gloriane Quartuccio
Google,Xaviera Noell
Google,Maggi Bordon
NICTA,Jordanna Chmela
Microsoft,Amalita Michon
IBM,Elisabet Hortein
Data61,Nanny Gershkovich
Microsoft,Emma Osaki
Amazon,Irena Bartosik
CSIRO,Bernadine Daigneault
Google,Kaye Wales
IBM,Blondie Struchen
CSIRO,Tanya Santory
IBM,Emalia Ketcher
Amazon,Shelia Farrah
Google,Amandi Beuse
IBM,Dacie Dearman
Amazon,Tiphani Decook
IBM,Martha Hansen
Amazon,Vinny Nicewonger
Microsoft,Carree Blare
Google,Vonny Beguhl
Google,Rosamund Keck
Microsoft,Hildagarde Kahanaoi
NICTA,Elisa Arujo
CSIRO,Constantia Ronca
NICTA,Kiele Hyndman
Amazon,Christian Ya
Microsoft,Theresina Huguenin
Google,Annamari Money
Google,Karrah Couret
Microsoft,Ruthann Stamant
IBM,Annemarie Allender
CSIRO,Maryann Peak
CSIRO,Gwendolin Ades
CSIRO,Kara Kopper
IBM,Camille Meusa
IBM,Verina Bisaccia
CSIRO,Katharina Polanski
Data61,Rozanna Kirkegaard
Data61,Lisa Knieriem
IBM,Brigit Hauber
IBM,Noreen Bubb
NICTA,Kellina Hofford
IBM,Samuela Kukowski
Google,Sasha Depiro
Data61,Lyndel Cordwell
NICTA,Justina Dowdle
CSIRO,Arlee Pust
CSIRO,Anette Stegall
NICTA,Ede Shellhamer
Google,Lia Purviance
CSIRO,Fanny Pedrozo
NICTA,Stafani Deatherage
Google,Marla Bringhurst
Amazon,Hilde Suddith
Microsoft,Sybila Hayball
Amazon,Theada Coppin
Amazon,Bel Carrecter
CSIRO,Tia Blake
Data61,Lilah Dunkley
Amazon,Beatriz Ammann
NICTA,Leanor Palomares
Microsoft,Lavinia Kientzy
Data61,Karie Dobbratz
IBM,Marit Somayor
IBM,Alfie Mcculla
Amazon,Aveline Bothwell
Data61,Carmelita Fonesca
IBM,Pegeen Volner
CSIRO,Rivy Zenisek
IBM,Maribelle Mojarro
IBM,Aubrie Kosloski
Microsoft,Elna Boersma
IBM,Patrica Burfield
Google,Engracia Riesen
IBM,Joletta Saberi
Data61,Milzie Oheron
NICTA,Gael Deary
Microsoft,Yettie Riexinger
IBM,Lisbeth Bruderer
CSIRO,Wanda Brading
Microsoft,Jillene Law
Microsoft,Edita Gazzillo
Amazon,Benetta Stmary
IBM,Ailina Walthall
IBM,Donny Mulry
Microsoft,Micaela Ferebee
Google,Juanita Nageotte
Google,Suzetta Lobo
Google,Alys Goldermann
NICTA,Gipsy Machain
Microsoft,Hatti Devos
Amazon,Claudelle Kobara
Google,Jillayne Mesecar
IBM,Marjorie Cattladge
Amazon,Enrichetta Bellville
CSIRO,Ester Skorupski
IBM,Kaster Danekas
Amazon,Gilli Mrotek
Google,Charlene Dickinson
Data61,Allie Weal
CSIRO,Sue-elle Storti
NICTA,Kira Adinolfi
IBM,Charisse Birkhimer
CSIRO,Fiona Plutt
Amazon,Celle Escorza
Data61,Albertine Mccament
Amazon,Gertrudis Trybala
Microsoft,Darcey Schlesener
Microsoft,Carlynne Gelrud
Data61,Ariel Hannula
CSIRO,Basia Melrose
Amazon,Lindsay Lebsack
CSIRO,Fan Kusko
Amazon,Thia Vogelsberg
Amazon,Eugenie Celia
Data61,Lib Seymoure
CSIRO,Ingunna Otremba
Data61,Caprice Carn
Amazon,Joellen Arguello
CSIRO,Zuzana Condry
Amazon,Harlie Pili
IBM,Fayina Traino
CSIRO,Bert Geren
CSIRO,Suzanna Jennett
Amazon,Liorah Deines
IBM,Prisca Fayer
CSIRO,Lisandra Melichar
NICTA,Rozamond Kopatz
Google,Elianora Salcido
Google,Larina Maradiaga
IBM,Marion Tjandra
NICTA,Rikki Norat
IBM,Inesita Bolduc
IBM,Agatha Lava
NICTA,Carolina Antwine
NICTA,Benita Revells
Google,Wini Rudin
NICTA,Zea Valer
CSIRO,Esmeralda Lopp
IBM,Merridie Stefansky
Microsoft,Gianina Addeo
Google,Shelli Goldsby
Microsoft,Lindie Balok
Amazon,Joyann Kapusniak
Microsoft,Anjanette Laurens
Amazon,Dayle Messina
Amazon,Denys Brininger
Amazon,Idalia Lunderman
Google,Micaela Dingus
CSIRO,Alta Darco
IBM,Vonni Forshee
Data61,Deni Hults
Microsoft,Anabelle Ashbrook
Google,Eilis Pumphrey
CSIRO,Sib Sheild
Amazon,Cleopatra Wynia
Amazon,Dara Rehbock
CSIRO,Doro Carnovale
Amazon,Suzette Cortesi
IBM,Evangelin Kalisch
IBM,Rhetta Wardle
Google,Marya Southmayd
Microsoft,Loni Mccrohan
Microsoft,Valera Crumbliss
IBM,Leodora Houben
Microsoft,Riki Lehoullier
IBM,Cariotta Leibe
NICTA,Laurena Siegfried
IBM,Francyne Grisson
IBM,Miguela Dorrance
NICTA,Gerianne Lampert
CSIRO,Dacey Allam
Google,Zelda Zaxas
Amazon,Melissa Poplawski
Google,Madlin Chichester
NICTA,Danika Breaud
IBM,Mildred Fedele
Microsoft,Gretel Currier
CSIRO,Angelica Mansbach
Amazon,Jessamine Maalouf
Data61,Terrianne Boynton
Microsoft,Nicol Haak
Microsoft,Lianne Cobell
CSIRO,Claudina Drebes
CSIRO,Natalee Standeven
Google,Belicia Hemmie
CSIRO,Jammie Turla
IBM,Micaela Ovit
Microsoft,Rosemaria Bridgewater
IBM,Van Spivey
Microsoft,Alyssa Robinette
Data61,Selinda Trifone
NICTA,Yelena Faines
Amazon,Fanya Xue
NICTA,Michele Gajate
Data61,Malynda Rybczyk
Microsoft,Ursa Gnerre
IBM,Eleonora Shankles
CSIRO,Gwyn Zbikowski
CSIRO,Glad Kudro
Google,Nedi Neuzil
Amazon,Cathleen Floriano
CSIRO,Griselda Rodreguez
CSIRO,Feodora Schiller
CSIRO,Winny Krienke
Data61,Annamari Pittard
Amazon,Cinda Baltes
Data61,Jessy Fye
NICTA,Nikoletta Hanberg
Amazon,Beitris Dorne
NICTA,Abbie Walkner
Google,Leena Juras
CSIRO,Madelena Kunich
NICTA,Ninette Matern
IBM,Barby Aubin
NICTA,Patricia Hoffmeyer
Microsoft,Shanta Fajen
Microsoft,Gennie Hostin
IBM,Kalila Sniff
IBM,Mabel Fellinger
Data61,Hazel Apelian
CSIRO,Kacey Taube
CSIRO,Kaia Thompsom
CSIRO,Henrieta Keany
Google,Davina Mcdaris
CSIRO,Mela Glogowski
IBM,Cordula Shoumaker
IBM,Steffi Jefferis
Data61,Martina Hillberry
Microsoft,Constanta Lanski
Data61,Saba Andreola
IBM,Mariel Danson
IBM,Wilhelmine Lenzini
Data61,Clementina Mardini
CSIRO,Mia Leroy
CSIRO,Phillie Jerding
Microsoft,Bethany Mielczarek
CSIRO,Amandie Pille
Microsoft,Rozamond Hathcock
Google,Tisha Stotesberry
CSIRO,Vickie Bundschuh
Google,Moria Olinger
Microsoft,Essie Duck
NICTA,Charleen Muinos
Microsoft,Lynsey Talamante
CSIRO,Gwynne Chyle
Google,Analise Lowney
IBM,Margit Fernandez
Microsoft,Venita Janek
NICTA,Hyacinthia Lenior
Data61,Xaviera Monasterio
Microsoft,Truda Oelschlager
Microsoft,Etti Willadsen
Data61,Gera Kimmey
NICTA,Anabel Kahan
CSIRO,Ernesta Erger
Google,Jenica Horten
NICTA,Pauletta Sinopoli
Data61,Davita Bernbeck
Google,Merilyn Millender
Google,Emelda Sann
NICTA,Tamma Buehler
NICTA,Kenna Turnley
NICTA,Celestia Sarr
IBM,Dulcinea Fragoso
Amazon,Arlen Collons
Google,Odille Laroche
Data61,Silvia Nuncio
Microsoft,Dorthea Merriweather
NICTA,Trina Nikolai
Microsoft,Kariotta Mondell
Google,Corri Strouse
Amazon,Yolanda Ahrendes
Data61,Cristie Paxson
Microsoft,Judye Damore
IBM,Francesca Kosten
Amazon,Vitoria Derivan
Google,Trixy Dolberry
Microsoft,Odelia Tromblay
Google,Kala Brumfield
Google,Roxy Martens
Microsoft,Jennee Mcdougle
Amazon,Charlott Falconeri
Microsoft,Sherrie Dragos
Google,Bettye Kustra
NICTA,Lora Palisbo
Google,Delly Marcellus
Google,Emmaline Hardnette
Amazon,Shaina Mowrey
Microsoft,Mead Alman
Amazon,Suzette Fortson
NICTA,Robyn Tipold
Data61,Gloriana Ambler
IBM,Roseanna Arciga
Microsoft,Marisa Johnsen
Microsoft,Arleen Remaklus
CSIRO,Edi Casewell
Google,Antonetta Burkham
Data61,Marcia Jess
Google,Danielle Sulley
Amazon,Sharna Bruso
Microsoft,Adara Okeefe
Data61,Katti Szewczyk
Google,Conni Badgley
Microsoft,Tallia Herrmann
Google,Annabela Harshfield
CSIRO,Trudie Shroyer
CSIRO,Maiga Breitbarth
Amazon,Carli Gliues
CSIRO,Danita Fulp
Amazon,Florinda Ayles
Google,Violetta Coddington
Microsoft,Florice Orsak
Amazon,Roanne Sens
Amazon,Susanetta Brong
Google,Abbe Bijou
Microsoft,Arabela Goodermote
CSIRO,Rosaleen Wolma
Data61,Lea Daris
IBM,Lil Botras
Google,Ike Pumphrey
IBM,Vere Agnelli
Google,Sibylla Sharpey
CSIRO,Issie Leviton
Google,Jenni Sehrt
IBM,Beryl Allinger
Amazon,Lola Baggett
Data61,Marcela Vosquez
Data61,Tommi Ukena
Amazon,Moina Rodd
Google,Selle Tewes
IBM,Jeanna Zornes
Microsoft,Ronna Blackmar
NICTA,Christel Zaneski
CSIRO,Tonya Reibman
Microsoft,Juliann Kaneko
Google,Cammi Tenamore
Microsoft,Alvinia Corak
Google,Bonita Elicker
NICTA,Phebe Queenan
NICTA,Almeda Sigafus
Amazon,Elene Holberton
NICTA,Valaria Warsme
IBM,Mattie Eddinger
Data61,Kesley Desalvo
CSIRO,Elsbeth Liscomb
Microsoft,Simone Lazares
Data61,Sibella Cicero
Amazon,Kath Thrift
CSIRO,Bathsheba Mcgavock
Microsoft,Arlyn Magallanes
Google,Pansy Pavel
NICTA,Chrystal Naveed
Data61,Rosella Arroliga
Data61,Adiana Deback
IBM,Else Mccullom
NICTA,Shay Kofman
Amazon,Roxane Sutterfield
Microsoft,Agatha Jaffe
Google,Caprice Bermel
NICTA,Ike Fritchley
IBM,Anselma Redinger
CSIRO,Zsa Zsa Oberman
IBM,Dulcy Lazard
NICTA,Trixy Strelow
IBM,Laila Mcburnett
CSIRO,Petronia Gibert
Microsoft,Rikki Dicola
IBM,Casia Arnstein
Data61,Ronny Varlas
Google,Ericka Perkinson
Amazon,Reba Hainley
Microsoft,Angie Novak
Google,Murial Vickerman
CSIRO,Prue Niebyl
CSIRO,Sharra Tatman
NICTA,Lacy Sierzenga
Data61,Eimile Laakso
CSIRO,Sharleen Sheffey
Microsoft,Merissa Desjardin
Google,Golda Balestrieri
CSIRO,Daloris Archibold
Amazon,Karyl Horning
Data61,Fawna Ellifritz
NICTA,Veriee Cartan
Microsoft,Ashley Columbia
Amazon,Joanna Brittsan
CSIRO,Gabi Nouth
CSIRO,Roda Buganski
CSIRO,Lane Tritz
Data61,Harley Fickes
Amazon,Bathsheba Salvador
IBM,Babara Delouise
CSIRO,Lyn Hallford
CSIRO,Leonanie Buzzelli
Microsoft,Fawnia Ginkel
Microsoft,Dynah Josue
Amazon,Johanna Braun
Microsoft,Ajay Defabio
IBM,Wilma Marocco
NICTA,Gretal Judah
Data61,Leandra Hanscom
Amazon,Jacklin Perilloux
IBM,Juliane Tranbarger
IBM,Nisse Soldan
Amazon,Juliana Shriner
Data61,Lorraine Mccomsey
Amazon,Vivienne Jean
Google,Dulciana Edouard
Data61,Rebecca Mixson
Google,Belinda Ismay
Amazon,Nady Weigel
Microsoft,Anna-Maria Rediker
IBM,Mireille Mierzwa
Data61,Kizzie Silbaugh
Google,Florrie Trad
Data61,Kelsey Zummo
Amazon,Kimbra Gilcreast
Amazon,Marnia Snell
Data61,Sile Shahim
Amazon,Ines Campble
IBM,Tove Deblois
CSIRO,Peggy Boroff
NICTA,Perrine Ayuso
Google,Chelsie Kochan
Google,Daffy Kroells
Microsoft,Chris Standrew
IBM,Sheelagh Daman
IBM,Gita Siepker
CSIRO,Loella Breske
Google,Dolora Trombino
NICTA,Glyn Luhman
Amazon,Merle Litvin
IBM,Linet Mahal
CSIRO,Dorthea Delaurie
Google,Helga Keaton
Microsoft,Becca Gugliotti
IBM,Blythe Shirakawa
NICTA,Chelsea Frankford
NICTA,Faustine Boddie
Data61,Sibelle Porteous
Data61,Beth Caparros
NICTA,Loraine Browers
Microsoft,Dot Manginelli
Amazon,Saba Kinter
Google,Bobbie Riggle
Microsoft,Martynne Watrs
CSIRO,Aphrodite Hoffert
Amazon,Rosanne Goetzinger
Data61,Sharron Shina
IBM,Elke Milera
Data61,Rubina Kocab
IBM,Frances Bendle
CSIRO,Raquel Hurtubise
Google,Rosie Towner
IBM,Trula Vandixon
Data61,Bari Stoor
Google,Nicole Draxler
Google,Alissa Brzuchalski
CSIRO,Ellynn Goracke
Microsoft,Fulvia Lotto
IBM,Evvy Horodyski
Amazon,Kim Collazo
IBM,Maxy Gockley
Microsoft,Ki Faiola
Data61,Merissa Schmaus
Amazon,Lillis Archuleta
CSIRO,Norma Pressel
Microsoft,Dyan Tacderen
Microsoft,Caressa Frump
CSIRO,Aili Palencia
NICTA,Flower Blasingim
Data61,Chandra Wynott
Google,Dee Beakley
Google,Kamila Boyenga
IBM,Betty Cluxton
Amazon,Anny Huffines
Google,Rayna Alvernaz
NICTA,Debbie Cagnon
Microsoft,Alexina Monges
IBM,Gabbie Korchnak
Data61,Phyllida Bramham
